ID,Name,Distance (metres),Grade (%),KOM (seconds),QOM (seconds),Athletes,Category,Bearing
14500793,Orkesterbacken,329.2,-0.9,48,,209,0,
26734575,Spurten,205.6,3,22,39,524,0,SE
8465854,Orkesterparken runt,2463.39990234375,0,,,,0,
22084745,Gravedigger,852,-1.5,153,198,322,0,W
14850455,IKDC - Kårhuset,404.4,-1.5,82,,111,0,
24218499,Lundaloppet Segment Challenge - Tornavägen GP,1866.7,-1.4,,,,0,
26241883,Lund City Walk,4925.5,-0.2,,,,0,
8535050,"Hbsp - No easy way out, no shortcut home...",2804,0.7,620,,138,0,
27350612,Backen vid trappan,188.9,4.1,,,,0,
25282867,Ideontorget - LTH-parken,739.6,-1.2,,,,0,
29107525,Djingisslingan-Spurten i Bananparken,270.9,-2.7,,,,0,
7927074,Training Loop 2,1068.3,0.1,,,,0,
28072878,Bak om Qlik,355.4,-0.4,,,,0,
34105031,Ideongatan / Scheeleparken,698.7,-0.1,,,,0,
4843021,Bjärred Strandvägen (norrgående),1622.800048828125,-0.2,,,,0,
16715196,Vattentornet Halvmil,5008.5,0,,,,0,
23437968,Upp till Möllan,344.2,3.1,,,,0,
31081638,Helvetes slutspurt,488.2,0.1,,,,0,
20038750,Raksträckan Norra Kyrkogården,509.4,-0.9,,,,0,
32908609,Monumentet Moment,604.9,0.3,,,,0,
11583032,Hem-Slutet av S:t Hans,1119.699951171875,-0.2,,,,0,
34800545,West of the Cemetery,642.2,0.2,,,,0,
24990256,Djingisslingan-Solbjerparken till 4H,1434.5,-1,,,,0,
10540113,Brunnshögsfemman,5022.60009765625,0,,,,0,
33788893,Monumentsparken,661.7,0,,,,0,
10242015,Fjelierakan,1153.9,0.1,,,,0,
26771032,Karl XI,157.4,4.3,,,,0,
24049093,Mossen highway to Hell fast n furious,3060,-0.2,,,,0,
12068315,Lundavägen mot havet,538,0.7,,,,0,
31309387,Dash to Dammstorpvägen,1279,-0.6,,,,0,
14910424,Lilla Utmarksvägen,774.3,-0.8,157,210,153,0,NW
5461675,Djingisbacken,404.1,3.2,70,97,662,0,E
29373569,Över Norra Ringen norrut mot S:t Hans,336,-1.2,,,,0,
7419869,Odarslövsrakan-Hem,1171.4,-1.5,,,,0,
18733020,Möllevångsvägen,635.4,-1.5,136,,31,0,
8453931,Sprint to the office,205.9,1,31,,316,0,
26877971,Nobelparken counter-clockwise,753.6,0,135,179,77,0,W
23537437,Sandby mosse andra hållet,4456,-0.1,,,,0,
5441820,Möllevångsvägen Climb,634,6.4,,,,0,
17076476,Mossavägen,1698,0.1,259,,17,0,
20525374,Delphi-runt (motsols),3858.9,-0.1,,,,0,
5057232,5k from Sofiaparken,5145.2,0,2107,0,0,0,SE
20689760,Fladen V 1k,809.2,-0.2,65,,101,0,
